ISOCode,description
IS,アイスランド
IE,アイルランド
AZ,アゼルバイジャン
AF,アフガニスタン
US,アメリカ合衆国
AE,アラブ首長国連邦
DZ,アルジェリア
AR,アルゼンチン
AW,アルバ
AL,アルバニア
AM,アルメニア
AI,アンギラ
AO,アンゴラ
AG,アンティグア・バーブーダ
AD,アンドラ
YE,イエメン
GB,イギリス
IL,イスラエル
IT,イタリア
IN,インド
ID,インドネシア
UG,ウガンダ
UA,ウクライナ
UZ,ウズべキスタン
UY,ウルグアイ
EC,エクアドル
EG,エジプト
EE,エストニア
ET,エチオピア
ER,エリトリア
SV,エルサルバドル
AU,オーストラリア
AT,オーストリア
OM,オマーン
NL,オランダ
GY,ガイアナ
KZ,カザフスタン
QA,カタール
CA,カナダ
CV,カボベルデ
GA,ガボン
CM,カメルーン
GM,ガンビア
KH,カンボジア
GH,ガーナ
GN,ギニア
GW,ギニアビサウ
CY,キプロス
GR,ギリシャ
KI,キリバス
KG,キルギス
GT,グアテマラ
GP,グアドループ島
GU,グアム
KW,クウェート
CK,クック諸島
GL,グリーンランド
CX,クリスマス島
GE,グルジア
GD,グレナダ
HR,クロアチア
KY,ケイマン諸島
KE,ケニア
CI,コートジボワール
CC,ココス諸島
CR,コスタリカ
KM,コモロ
CO,コロンビア
CG,コンゴ共和国
CD,コンゴ民主共和国
SA,サウジアラビア
WS,サモア
ST,サントメ・プリンシペ
ZM,ザンビア
PM,サンピエール・ミクロン
SM,サンマリノ
SL,シエラレオネ
DJ,ジブチ
GI,ジブラルタル
JM,ジャマイカ
SG,シンガポール
ZW,ジンバブエ
CH,スイス
SE,スウェーデン
SJ,スバールバル諸島
ES,スペイン
SR,スリナム
LK,スリランカ
SK,スロバキア
SI,スロベニア
SZ,スワジランド
SC,セイシェル
SN,セネガル
RS,セルビア
KN,セントキッツ・ネイビス
VC,セントビンセント・グレナディーン
SH,セントヘレナ島
LC,セントルシア
SO,ソマリア
SB,ソロモン諸島
TC,タークス・カイコス諸島
TH,タイ
TJ,タジキスタン
TZ,タンザニア
CZ,チェコ
TD,チャド
TN,チュニジア
CL,チリ
TV,ツバル
DK,デンマーク
DE,ドイツ
TG,トーゴ
TK,トケラウ諸島
DM,ドミニカ
DO,ドミニカ共和国
TT,トリニダード・トバゴ
TM,トルクメニスタン
TR,トルコ
TO,トンガ
NG,ナイジェリア
NR,ナウル
NA,ナミビア
NU,ニウエ
NI,ニカラグア
NE,ニジェール
NC,ニューカレドニア
NZ,ニュージーランド
NP,ネパール
NF,ノーフォーク島
NO,ノルウェー
HM,ハード・マクドナルド諸島
HT,ハイチ
PK,パキスタン
VA,バチカン市国
PA,パナマ
VU,バヌアツ
BS,バハマ
PG,パプアニューギニア
BM,バミューダ諸島
PW,パラオ
PY,パラグアイ
BB,バルバドス
PS,パレスチナ
HU,ハンガリー
BD,バングラデシュ
BH,バーレーン
PN,ピトケアン島
FJ,フィジー
PH,フィリピン
FI,フィンランド
PR,プエルトリコ
FO,フェロー諸島
FK,フォークランド諸島
BR,ブラジル
FR,フランス
BG,ブルガリア
BF,ブルキナファソ
BN,ブルネイ
BI,ブルンジ
BT,ブータン
BV,ブーベ島
VN,ベトナム
BJ,ベナン
VE,ベネズエラ
BY,ベラルーシ
BZ,ベリーズ
PE,ペルー
BE,ベルギー
BA,ボスニア・ヘルツェゴビナ
BW,ボツワナ
BO,ボリビア
PT,ポルトガル
HN,ホンジュラス
PL,ポーランド
MH,マーシャル諸島
YT,マイヨット島
MK,マケドニア
MG,マダガスカル
MW,マラウィ
ML,マリ
MT,マルタ
MQ,マルチニーク島
MY,マレーシア
FM,ミクロネシア
MM,ミャンマー
MX,メキシコ
MU,モーリシャス
MR,モーリタニア
MZ,モザンビーク
MC,モナコ
MV,モルディヴ
MD,モルドバ
MA,モロッコ
MN,モンゴル
MS,モンセラット
ME,モンテネグロ
JO,ヨルダン
LA,ラオス
LV,ラトビア
LT,リトアニア
LI,リヒテンシュタイン
LR,リベリア
RO,ルーマニア
LU,ルクセンブルク
RW,ルワンダ
LS,レソト
LB,レバノン
RE,レユニオン
RU,ロシア
WF,ワリス・フテュナ諸島
IO,英領インド洋地域
VG,英領バージン諸島
KR,韓国
EH,西サハラ
GQ,赤道ギニア
TW,台湾
CF,中央アフリカ
CN,中国
TL,東ティモール
ZA,南アフリカ
GS,南ジョージア・南サンドイッチ諸島
AQ,南極
JP,日本
TF,仏南方領
GF,仏領ギアナ
PF,仏領ポリネシア
UM,米辺境諸島
AS,米領サモア
VI,米領バージン諸島
MP,北マリアナ諸島
AN,蘭領アンティル
