ISOCode,description
AU,Австралия
AT,Австрия
AZ,Азербайджан
AL,Албания
DZ,Алжир
AS,Американское Самоа
AO,Ангола
AD,Андорра
AQ,Антарктида
AG,Антигуа и Барбуда
AN,Антильские о-ва
AR,Аргентина
AM,Армения
AW,Аруба
AF,Афганистан
BS,Багамские о-ва
BD,Бангладеш
BB,Барбадос
BH,Бахрейн
BY,Беларусь
BZ,Белиз
BE,Бельгия
BJ,Бенин
BM,Бермудские о-ва
BG,Болгария
BO,Боливия
BA,Босния и Герцеговина
BW,Ботсвана
BR,Бразилия
IO,Брит. терр. в Инд. океане
VG,Британские Виргинские О-ва
BN,Бруней
BF,Буркина-Фасо
BI,Бурунди
BT,Бутан
VU,Вануату
VA,Ватикан
GB,Великобритания
HU,Венгрия
VE,Венесуэла
VI,Виргинские о-ва (США)
TL,Восточный Тимор
VN,Вьетнам
GA,Габон
HT,Гаити
GM,Гамбия
GH,Гана
GP,Гваделупа
GT,Гватемала
GN,Гвинея
GW,Гвинея-Бисау
DE,Германия
GI,Гибралтар
HN,Гондурас
GD,Гренада
GL,Гренландия
GR,Греция
GE,Грузия
DK,Дания
CD,Демократическая Республика Конго
DJ,Джибути
DM,Доминика
DO,Доминиканская Республика
EG,Египет
ZM,Замбия
EH,Западная Сахара
ZW,Зимбабве
IL,Израиль
IN,Индия
ID,Индонезия
JO,Иордания
IE,Ирландия
IS,Исландия
ES,Испания
IT,Италия
YE,Йемен
CV,Кабо-Верде
KZ,Казахстан
KY,Каймановы о-ва
KH,Камбоджа
CM,Камерун
CA,Канада
QA,Катар
KE,Кения
CY,Кипр
KI,Кирибати
CN,Китай
CC,Кокосовые о-ва
CO,Колумбия
KM,Коморские о-ва
KR,Корея
CR,Коста-Рика
CI,Кот-д'Ивуар
KW,Кувейт
KG,Кыргызстан
LA,Лаос
LV,Латвия
LS,Лесото
LR,Либерия
LB,Ливан
LT,Литва
LI,Лихтенштейн
LU,Люксембург
MU,Маврикий
MR,Мавритания
MG,Мадагаскар
YT,Майотте
MK,Македония
MW,Малави
MY,Малайзия
ML,Мали
UM,Малые о-ва США
MV,Мальдивские о-ва
MT,Мальта
MA,Марокко
MH,Маршалловы о-ва
MX,Мексика
FM,Микронезия
MZ,Мозамбик
MD,Молдова
MC,Монако
MN,Монголия
MM,Мьянма
NA,Намибия
CG,Народная Республика Конго
NR,Науру
NP,Непал
NE,Нигер
NG,Нигерия
NL,Нидерланды
NI,Никарагуа
NU,Ниуэ
NZ,Новая Зеландия
NC,Новая Каледония
NO,Норвегия
NF,Норфолкские о-ва
AI,о. Ангилья
BV,О. Буве
GU,О. Гуам
MQ,О. Мартиника
MS,О. Монтсеррат
PN,О. Питкэрн
RE,О. Реюньон
CX,О. Рождества
SH,О. Св. Елены
AE,ОАЭ
CK,О-ва Кука
PW,О-ва Палау
PM,О-ва Сен-Пьер и Микелон
TC,О-ва Теркс и Кайкос
TK,О-ва Токелау
WF,О-ва Уоллис и Футуна
FJ,О-ва Фиджи
HM,О-ва Херд и Макдональд
OM,Оман
PK,Пакистан
PS,Палестинская автономия
PA,Панама
PG,Папуа-Новая Гвинея
PY,Парагвай
PE,Перу
PL,Польша
PT,Португалия
PR,Пуэрто-Рико
GY,Республика Гайана
RU,Российская Федерация
RW,Руанда
RO,Румыния
SV,Сальвадор
WS,Самоа
SM,Сан-Марино
ST,Сан-Томе и Принсипи
SA,Саудовская Аравия
SZ,Свазиленд
MP,Северные Марианские о-ва
SC,Сейшельские о-ва
SN,Сенегал
VC,Сент-Винсент и Гренадины
KN,Сент-Китс и Невис
LC,Сент-Люсия
RS,Сербия
SG,Сингапур
SK,Словакия
SI,Словения
SB,Соломоновы о-ва
SO,Сомали
SR,Суринам
US,США
SL,Сьерра-Леоне
TJ,Таджикистан
TW,Тайвань
TH,Тайланд
TZ,Танзания
TG,Того
TO,Тонга
TT,Тринидад и Тобаго
TV,Тувалу
TN,Тунис
TM,Туркменистан
TR,Турция
UG,Уганда
UZ,Узбекистан
UA,Украина
UY,Уругвай
FO,Фарерские о-ва
PH,Филиппины
FI,Финляндия
FK,Фолклендские (Мальвинские) о-ва
TF,Франц. Южн. Терр.
FR,Франция
GF,Французская Гвиана
PF,Французская Полинезия
HR,Хорватия
CF,Центральноафриканская Республика
TD,Чад
ME,Черногория
CZ,Чехия
CL,Чили
CH,Швейцария
SE,Швеция
SJ,Шпицберген
LK,Шри-Ланка
EC,Эквадор
GQ,Экваториальная Гвинея
ER,Эритрея
EE,Эстония
ET,Эфиопия
ZA,ЮАР
GS,Южн. Георгия и Южн. Сандв. о-ва
JM,Ямайка
JP,Япония
